1769397841.528271 server started (2085773): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1769397841.528299 on Linux 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2
1769397841.528308 using libevent 2.1.12-stable poll
1769397841.528312 using ncurses 6.4 20240113
1769397841.528665 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1769397841.528669 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1769397841.528674 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1769397841.528678 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1769397841.528683 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1769397841.528688 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1769397841.528692 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1769397841.528696 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1769397841.528699 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1769397841.528703 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1769397841.528706 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1769397841.528710 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1769397841.528713 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1769397841.528716 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1769397841.528720 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1769397841.528724 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1769397841.528728 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1769397841.528731 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1769397841.528734 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1769397841.528738 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1769397841.528742 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1769397841.528745 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1769397841.528748 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1769397841.528753 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1769397841.528758 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1769397841.528761 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1769397841.528764 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1769397841.528771 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1769397841.528774 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1769397841.528778 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1769397841.528781 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1769397841.528785 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1769397841.528790 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1769397841.528794 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1769397841.528797 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1769397841.528800 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1769397841.528804 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1769397841.528808 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1769397841.528811 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1769397841.528815 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1769397841.528819 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1769397841.528824 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1769397841.528829 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1769397841.528834 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1769397841.528838 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1769397841.528843 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1769397841.528848 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1769397841.528853 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1769397841.528857 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1769397841.528860 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1769397841.528864 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1769397841.528868 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1769397841.528872 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1769397841.528876 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1769397841.528880 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1769397841.528885 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1769397841.528889 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1769397841.528898 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1769397841.528903 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1769397841.528907 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1769397841.528912 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1769397841.528917 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1769397841.528922 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1769397841.528927 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1769397841.528931 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1769397841.528935 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1769397841.528940 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1769397841.528945 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1769397841.528950 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1769397841.528955 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1769397841.528959 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1769397841.528964 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1769397841.528969 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1769397841.528974 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1769397841.528979 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1769397841.528983 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1769397841.528987 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1769397841.528992 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1769397841.528997 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1769397841.529002 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1769397841.529006 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1769397841.529010 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1769397841.529015 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1769397841.529020 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1769397841.529025 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1769397841.529029 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1769397841.529034 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1769397841.529043 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1769397841.529047 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1769397841.529050 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1769397841.529055 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1769397841.529060 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1769397841.529065 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1769397841.529070 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1769397841.529074 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1769397841.529079 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1769397841.529084 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1769397841.529089 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1769397841.529094 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1769397841.529099 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1769397841.529103 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1769397841.529108 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1769397841.529113 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1769397841.529118 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1769397841.529122 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1769397841.529127 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1769397841.529132 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1769397841.529137 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1769397841.529142 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1769397841.529146 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1769397841.529151 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1769397841.529158 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1769397841.529162 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1769397841.529167 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1769397841.529171 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1769397841.529176 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1769397841.529181 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1769397841.529185 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1769397841.529190 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1769397841.529195 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1769397841.529200 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1769397841.529205 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1769397841.529209 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1769397841.529214 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1769397841.529219 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1769397841.529224 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1769397841.529229 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1769397841.529233 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1769397841.529238 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1769397841.529243 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1769397841.529248 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1769397841.529252 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1769397841.529256 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1769397841.529261 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1769397841.529266 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1769397841.529271 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1769397841.529276 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1769397841.529280 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1769397841.529288 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1769397841.529292 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1769397841.529296 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1769397841.529301 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1769397841.529305 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1769397841.529310 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1769397841.529315 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1769397841.529320 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1769397841.529325 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1769397841.529330 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1769397841.529335 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1769397841.529339 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1769397841.529344 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1769397841.529349 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1769397841.529354 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1769397841.529359 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1769397841.529363 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1769397841.529368 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1769397841.529373 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1769397841.529378 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1769397841.529393 yylex_token: end at WS
1769397841.529397 yylex_token: bind
1769397841.529402 yylex_token: end at WS
1769397841.529406 yylex_token: -N
1769397841.529410 yylex_token: end at WS
1769397841.529413 yylex_token: Send the prefix key
1769397841.529416 yylex_token: end at WS
1769397841.529419 yylex_token: C-b
1769397841.529423 yylex_token: end at WS
1769397841.529433 yylex_token: send-prefix
1769397841.529440 cmd_parse_build_commands 0:0: bind
1769397841.529447 cmd_parse_build_commands 0:1: -N
1769397841.529451 cmd_parse_build_commands 0:2: Send the prefix key
1769397841.529454 cmd_parse_build_commands 0:3: C-b
1769397841.529458 cmd_parse_build_commands 0:4 0:0: send-prefix
1769397841.529469 cmd_parse_build_commands 0:0: send-prefix
1769397841.529479 args_parse: flags end at 1 of 1
1769397841.529483 cmd_parse_build_commands: send-prefix
1769397841.529487 args_parse_flags: next -N
1769397841.529491 args_parse_flag_argument: -N = Send the prefix key
1769397841.529502 args_parse_flags: next C-b
1769397841.529505 args_parse: flags end at 3 of 5
1769397841.529508 args_parse: 3 = C-b (type STRING)
1769397841.529512 args_parse: 4 = send-prefix (type COMMANDS)
1769397841.529692 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1769397841.529702 cmdq_get_command: [bind-key/0x592169941ad0] group 2
1769397841.529706 cmdq_append <global>: [bind-key/0x592169941ad0]
1769397841.529711 yylex_token: end at WS
1769397841.529714 yylex_token: bind
1769397841.529718 yylex_token: end at WS
1769397841.529721 yylex_token: -N
1769397841.529725 yylex_token: end at WS
1769397841.529728 yylex_token: Rotate through the panes
1769397841.529731 yylex_token: end at WS
1769397841.529733 yylex_token: C-o
1769397841.529737 yylex_token: end at WS
1769397841.529740 yylex_token: rotate-window
1769397841.529744 cmd_parse_build_commands 0:0: bind
1769397841.529747 cmd_parse_build_commands 0:1: -N
1769397841.529750 cmd_parse_build_commands 0:2: Rotate through the panes
1769397841.529753 cmd_parse_build_commands 0:3: C-o
1769397841.529757 cmd_parse_build_commands 0:4 0:0: rotate-window
1769397841.529762 cmd_parse_build_commands 0:0: rotate-window
1769397841.529767 args_parse: flags end at 1 of 1
1769397841.529771 cmd_parse_build_commands: rotate-window
1769397841.529774 args_parse_flags: next -N
1769397841.529777 args_parse_flag_argument: -N = Rotate through the panes
1769397841.529781 args_parse_flags: next C-o
1769397841.529784 args_parse: flags end at 3 of 5
1769397841.529787 args_parse: 3 = C-o (type STRING)
1769397841.529791 args_parse: 4 = rotate-window (type COMMANDS)
1769397841.529798 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1769397841.529802 cmdq_get_command: [bind-key/0x592169941f80] group 10
1769397841.529805 cmdq_append <global>: [bind-key/0x592169941f80]
1769397841.529809 yylex_token: end at WS
1769397841.529812 yylex_token: bind
1769397841.529815 yylex_token: end at WS
1769397841.529818 yylex_token: -N
1769397841.529822 yylex_token: end at WS
1769397841.529825 yylex_token: Suspend the current client
1769397841.529828 yylex_token: end at WS
1769397841.529830 yylex_token: C-z
1769397841.529834 yylex_token: end at WS
1769397841.529837 yylex_token: suspend-client
1769397841.529840 cmd_parse_build_commands 0:0: bind
1769397841.529844 cmd_parse_build_commands 0:1: -N
1769397841.529847 cmd_parse_build_commands 0:2: Suspend the current client
1769397841.529850 cmd_parse_build_commands 0:3: C-z
1769397841.529853 cmd_parse_build_commands 0:4 0:0: suspend-client
1769397841.529857 cmd_parse_build_commands 0:0: suspend-client
1769397841.529863 args_parse: flags end at 1 of 1
1769397841.529867 cmd_parse_build_commands: suspend-client
1769397841.529870 args_parse_flags: next -N
1769397841.529873 args_parse_flag_argument: -N = Suspend the current client
1769397841.529876 args_parse_flags: next C-z
1769397841.529879 args_parse: flags end at 3 of 5
1769397841.529882 args_parse: 3 = C-z (type STRING)
1769397841.529885 args_parse: 4 = suspend-client (type COMMANDS)
1769397841.529892 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1769397841.529896 cmdq_get_command: [bind-key/0x5921699430b0] group 18
1769397841.529899 cmdq_append <global>: [bind-key/0x5921699430b0]
1769397841.529903 yylex_token: end at WS
1769397841.529906 yylex_token: bind
1769397841.529909 yylex_token: end at WS
1769397841.529912 yylex_token: -N
1769397841.529915 yylex_token: end at WS
1769397841.529918 yylex_token: Select next layout
1769397841.529927 yylex_token: end at WS
1769397841.529930 yylex_token: Space
1769397841.529934 yylex_token: end at WS
1769397841.529936 yylex_token: next-layout
1769397841.529940 cmd_parse_build_commands 0:0: bind
1769397841.529943 cmd_parse_build_commands 0:1: -N
1769397841.529946 cmd_parse_build_commands 0:2: Select next layout
1769397841.529949 cmd_parse_build_commands 0:3: Space
1769397841.529953 cmd_parse_build_commands 0:4 0:0: next-layout
1769397841.529957 cmd_parse_build_commands 0:0: next-layout
1769397841.529961 args_parse: flags end at 1 of 1
1769397841.529965 cmd_parse_build_commands: next-layout
1769397841.529967 args_parse_flags: next -N
1769397841.529971 args_parse_flag_argument: -N = Select next layout
1769397841.529974 args_parse_flags: next Space
1769397841.529977 args_parse: flags end at 3 of 5
1769397841.529980 args_parse: 3 = Space (type STRING)
1769397841.529983 args_parse: 4 = next-layout (type COMMANDS)
1769397841.529989 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1769397841.529993 cmdq_get_command: [bind-key/0x592169943990] group 26
1769397841.529996 cmdq_append <global>: [bind-key/0x592169943990]
1769397841.530000 yylex_token: end at WS
1769397841.530003 yylex_token: bind
1769397841.530006 yylex_token: end at WS
1769397841.530009 yylex_token: -N
1769397841.530012 yylex_token: end at WS
1769397841.530015 yylex_token: Break pane to a new window
1769397841.530018 yylex_token: end at WS
1769397841.530021 yylex_token: !
1769397841.530024 yylex_token: end at WS
1769397841.530027 yylex_token: break-pane
1769397841.530031 cmd_parse_build_commands 0:0: bind
1769397841.530034 cmd_parse_build_commands 0:1: -N
1769397841.530037 cmd_parse_build_commands 0:2: Break pane to a new window
1769397841.530040 cmd_parse_build_commands 0:3: !
1769397841.530043 cmd_parse_build_commands 0:4 0:0: break-pane
1769397841.530047 cmd_parse_build_commands 0:0: break-pane
1769397841.530051 args_parse: flags end at 1 of 1
1769397841.530054 cmd_parse_build_commands: break-pane
1769397841.530057 args_parse_flags: next -N
1769397841.530060 args_parse_flag_argument: -N = Break pane to a new window
1769397841.530063 args_parse_flags: next !
1769397841.530066 args_parse: flags end at 3 of 5
1769397841.530069 args_parse: 3 = ! (type STRING)
1769397841.530073 args_parse: 4 = break-pane (type COMMANDS)
1769397841.530078 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1769397841.530082 cmdq_get_command: [bind-key/0x592169943ed0] group 34
1769397841.530085 cmdq_append <global>: [bind-key/0x592169943ed0]
1769397841.530089 yylex_token: end at WS
1769397841.530092 yylex_token: bind
1769397841.530095 yylex_token: end at WS
1769397841.530098 yylex_token: -N
1769397841.530102 yylex_token: end at WS
1769397841.530104 yylex_token: Split window vertically
1769397841.530107 yylex_token: end at WS
1769397841.530110 yylex_token: "
1769397841.530113 yylex_token: end at WS
1769397841.530116 yylex_token: split-window
1769397841.530120 cmd_parse_build_commands 0:0: bind
1769397841.530123 cmd_parse_build_commands 0:1: -N
1769397841.530126 cmd_parse_build_commands 0:2: Split window vertically
1769397841.530129 cmd_parse_build_commands 0:3: "
1769397841.530132 cmd_parse_build_commands 0:4 0:0: split-window
1769397841.530136 cmd_parse_build_commands 0:0: split-window
1769397841.530140 args_parse: flags end at 1 of 1
1769397841.530144 cmd_parse_build_commands: split-window
1769397841.530147 args_parse_flags: next -N
1769397841.530150 args_parse_flag_argument: -N = Split window vertically
1769397841.530153 args_parse_flags: next "
1769397841.530156 args_parse: flags end at 3 of 5
1769397841.530159 args_parse: 3 = " (type STRING)
1769397841.530163 args_parse: 4 = split-window (type COMMANDS)
1769397841.530168 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1769397841.530172 cmdq_get_command: [bind-key/0x59216993f940] group 42
1769397841.530175 cmdq_append <global>: [bind-key/0x59216993f940]
1769397841.530179 yylex_token: end at WS
1769397841.530190 yylex_token: bind
1769397841.530193 yylex_token: end at WS
1769397841.530196 yylex_token: -N
1769397841.530199 yylex_token: end at WS
1769397841.530202 yylex_token: List all paste buffers
1769397841.530205 yylex_token: end at WS
1769397841.530208 yylex_token: #
1769397841.530211 yylex_token: end at WS
1769397841.530214 yylex_token: list-buffers
1769397841.530218 cmd_parse_build_commands 0:0: bind
1769397841.530221 cmd_parse_build_commands 0:1: -N
1769397841.530224 cmd_parse_build_commands 0:2: List all paste buffers
1769397841.530227 cmd_parse_build_commands 0:3: #
1769397841.530230 cmd_parse_build_commands 0:4 0:0: list-buffers
1769397841.530234 cmd_parse_build_commands 0:0: list-buffers
1769397841.530238 args_parse: flags end at 1 of 1
1769397841.530241 cmd_parse_build_commands: list-buffers
1769397841.530244 args_parse_flags: next -N
1769397841.530247 args_parse_flag_argument: -N = List all paste buffers
1769397841.530250 args_parse_flags: next #
1769397841.530253 args_parse: flags end at 3 of 5
1769397841.530256 args_parse: 3 = # (type STRING)
1769397841.530260 args_parse: 4 = list-buffers (type COMMANDS)
1769397841.530265 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1769397841.530269 cmdq_get_command: [bind-key/0x5921699400a0] group 50
1769397841.530272 cmdq_append <global>: [bind-key/0x5921699400a0]
1769397841.530281 yylex_token: end at WS
1769397841.530283 yylex_token: bind
1769397841.530286 yylex_token: end at WS
1769397841.530289 yylex_token: -N
1769397841.530293 yylex_token: end at WS
1769397841.530296 yylex_token: Rename current session
1769397841.530299 yylex_token: end at WS
1769397841.530301 yylex_token: $
1769397841.530304 yylex_token: end at WS
